source,name,partner_name,region,address,phone,email,website,facebook,instagram,logo_url,down_payment,annual_rate,term,min_loan_amount,max_loan_amount,latitude,longitude
Xalq Bank,BCR Olimpik,,Bakı,"Bakı şəh., Heydər Əliyev pr., 189",121,,https://olimpik.az/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bcr-olimpik.jpg,,,,,,,
Xalq Bank,Lake City by Minera,,Bakı,Ziya Bünyadov pr 2036,*1505 - +994555060505,,https://lakecity.az,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/logo-lake-city-ag-ve-goy-variant-3.png,,,,,,,
Xalq Bank,Bağça Şəhər,,Sumqayıt,"Sumqayıt şəhəri, Sülh küçəsi, 1-ci döngə","*4224, +994502351007",,https://aralgroupbaku.com/az/projects/bagca-seher,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/bagca.png,,,,,,,
Xalq Bank,"City Garden,  Highland Residence",,Bakı,"Nəsimi rayonu, Hüseynbala Əliyev küç, 3224-cü məhəllə, Baku, Azerbaijan",*1544,,https://www.instagram.com/kristalazerbaijan/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/01-0.jpg,,,,,,,
Xalq Bank,Park Xırdalan,,Sumqayıt,Sumqayıt 10-cu mikrorayon,*1544,,https://www.instagram.com/kristalazerbaijan/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/01-1.jpg,,,,,,,
Xalq Bank,Boulevard Palace,,Bakı,"Gülbala Əliyev küçəsi, 9, Bakı, Azərbaycan",+994 50 299 61 60,,https://www.instagram.com/boulevard.palace/,,,https://api.xalqbank.az/resized/resize0x120/center/temp/processing/02-0.jpg,,,,,,,
BirBank,Xəzri Residence,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/6540624f-2b9f-44be-96a8-6c372455f1db.jpeg,20.0,16.5,20,20000.0,500000.0,40.5797,49.69217
BirBank,Təbriz Evləri,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/1af0d887-c3cb-4e3f-a6ed-8fd977bd40a7.jpeg,20.0,16.5,20,20000.0,500000.0,40.392715,49.854637
BirBank,Zərifə Əliyeva 53,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/0d10ea3f-dea0-4395-b262-1934b9906319.jpeg,20.0,16.5,20,20000.0,500000.0,40.374992,49.855225
BirBank,Üzeyir Hacıbəyli 57,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/aba5e2bf-85ad-414c-9efc-393e8ec4c720.jpeg,20.0,16.5,20,20000.0,500000.0,40.376976,49.85769
BirBank,Gümüş Residence,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/13a7e7c7-b575-44e2-bc94-e207dd0d297e.jpeg,20.0,16.5,20,20000.0,500000.0,40.36688,49.823574
BirBank,Hillside Residence,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/c708b58a-b40f-408a-8ec6-cc92fecdc588.jpeg,20.0,16.5,20,20000.0,500000.0,40.361034,49.82521
BirBank,Vurğun Residence,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/d6b3ca63-d8a0-4533-9893-8d4fe522e632.jpeg,20.0,16.5,20,20000.0,500000.0,40.38428,49.836315
BirBank,Grand Park Plaza,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/31585d38-5051-4a8c-adac-3e56008082db.jpeg,20.0,16.5,20,20000.0,500000.0,40.38653,49.834564
BirBank,Nizami Boutique,PMD GROUP MMC,,"Bakı şəh, Port Baku, Neftçilər prospekti 153",0507075775,,www.pmdgroup.az,www.facebook.com/Pmdaz-105706621969998,www.instagram.com/pmd.az/,https://ipoteka.birbank.az/api/files/2a5e499b-3a90-4c8a-8dba-587f0b9e1fc3.jpeg,20.0,16.5,20,20000.0,500000.0,40.369118,49.82423
BirBank,Oscar,SR Construction CO MMC,,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/aa8381ce-40e8-4e81-aba6-a7a95f968279.jpeg,20.0,16.5,20,20000.0,500000.0,40.42708,49.953163
BirBank,Ahmadli Park,SR Construction CO MMC,,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/a56c07ec-be07-4530-b0b5-6adfbda0f32b.jpg,20.0,16.5,20,20000.0,500000.0,40.38171,49.95118
BirBank,Terras Park,SR Construction CO MMC,,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/7aebd778-a9a3-4e98-8aae-4d055c41e7e5.jpg,20.0,16.5,20,20000.0,500000.0,40.41535,49.962944
BirBank,Central Towers,SR Construction CO MMC,,"Yasamal rayonu, Balababa Məcidov küçəsi",0505551144,,www.srconstruction.az,www.facebook.com/SRinshaat/,www.instagram.com/srconstructionco/,https://ipoteka.birbank.az/api/files/debffa5f-cdb5-47f6-80b2-53d150de0704.jpg,20.0,16.5,20,20000.0,500000.0,40.381187,49.822845
BirBank,Dreamland,Dreamland,,Heydər Əliyev Adına Hava Limanı Avtomobil Yolunun 22-Ci Kilometri,0994047474,,www.dreamland.az/,,,https://ipoteka.birbank.az/api/files/b37e928a-ceea-43e5-a2ba-4c7b17e0e60d.png,30.0,16.5,20,20000.0,500000.0,,
BirBank,Cıdır Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/4c0aa957-532f-41a3-b90a-6a34f6672c1a.jpeg,30.0,16.5,20,30000.0,500000.0,40.41288,49.837605
BirBank,Əhmədli Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/85d4ff22-7367-4347-abc8-88fda6935b3a.jpeg,30.0,16.5,20,30000.0,500000.0,40.372337,49.864635
BirBank,Qış Parkı Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/317b914c-263c-4b5a-a5b9-e68045e91642.jpeg,30.0,16.5,20,30000.0,500000.0,40.37695,49.0
BirBank,28 Park Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/0349bc8d-4a19-4be6-a098-66e51dab8e74.png,30.0,16.5,20,30000.0,500000.0,40.383793,49.84666
BirBank,Nargilə Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/ff71b6fa-3009-4b94-8632-161cad1a3b13.jpeg,30.0,16.5,20,30000.0,500000.0,40.36904,49.943806
BirBank,Park Nərimanov Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/6e6d4535-cd31-4e0e-9bc8-b634f221ab81.jpeg,30.0,16.5,20,30000.0,500000.0,40.402596,49.875435
BirBank,Baku Galaxy Park Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/6fac43d8-28c0-408f-a51b-57c74868b3e7.jpeg,30.0,16.5,20,30000.0,500000.0,40.38411,49.855114
BirBank,Crown City Residence,Resant Real Estate MMC,,"Bakı ş, Nərimanov r-nu, Ak. Həsən Əliyev 135A",0505051333,,www.resant.az,www.facebook.com/RESANTRealEstate/,www.instagram.com/resant.realestate/,https://ipoteka.birbank.az/api/files/9bc7b59d-0bae-4aa3-adf1-845cbf74d6e5.jpeg,30.0,16.5,20,30000.0,500000.0,40.41836,49.908813
BirBank,Park Residences,Sea Breeze Real Estate,,"Bakı şəh, Nardaran qəsəbəsi",0552251304,,seabreeze.az,www.facebook.com/seabreeze.realestate,www.instagram.com/seabreeze.realestate/,https://ipoteka.birbank.az/api/files/09d70498-1dd5-4908-b8f1-b028d07c3ad2.png,20.0,16.5,20,20000.0,500000.0,40.59422,49.98991
BirBank,Polo Residence,Sea Breeze Real Estate,,"Bakı şəh, Nardaran qəsəbəsi",0552251304,,seabreeze.az,www.facebook.com/seabreeze.realestate,www.instagram.com/seabreeze.realestate/,https://ipoteka.birbank.az/api/files/15284f28-abc8-42fe-acab-8cf726eda028.png,20.0,16.5,20,20000.0,500000.0,40.59422,49.98991
BirBank,Sabah Residence,Sabah Residence MTK,,"Bakı şəhəri., Ziya Yusifzadə küçəsi 12 (Xanlar 10)",0502958181,,www.sabahresidence.az,www.facebook.com/sabahresidence/,www.instagram.com/sabahresidence/,https://ipoteka.birbank.az/api/files/d479664c-4d41-455e-9932-11b9750ca01e.jpg,30.0,16.5,20,30000.0,500000.0,40.351685,49.832085
BirBank,Ağ Saray Residence,Ağ Saray Residence MTK,,"Bakı Ağ Şəhər, Mərkəzi Bulvar küçəsi 6",0507370001,,www.agsaray.com,www.facebook.com/agsarayresidencebwc,,https://ipoteka.birbank.az/api/files/2a9c7935-a8ef-4565-b7d1-d01d6cf1a393.jpg,20.0,16.5,20,30000.0,500000.0,40.38456,49.882214
BirBank,Baku City residence Khatai,FDI International,,"Bakı şəhəri.,  Ağ Şəhər - Nəcəfqulu Rəfiyev küçəsi 25",121,,www.khatai.bcr.az,www.facebook.com/bcrkhatai,www.instagram.com/bcr.khatai/,https://ipoteka.birbank.az/api/files/be990320-143d-4f2c-b539-9a57ae4d272c.jpg,20.0,16.5,20,30000.0,500000.0,40.38677,49.875042
BirBank,K-Residence,Knightsbridge MTK,,"Bakı şəhəri., Xətai rayonu., 8 Noyabr prospekti 151",0515771234,,www.kresidence.az,,www.instagram.com/k.residencebaku/,https://ipoteka.birbank.az/api/files/3ad659b2-cc43-454c-848b-fe8e30481f0b.jpeg,20.0,16.5,20,30000.0,500000.0,40.380936,49.848656
BirBank,Rahatlığın Məkanı,Rahatlığın Məkanı MMC,,"Bakı şəh., Yasamal ray., Müzəffər Həsənov küç.,2",0503450999,,,,www.instagram.com/rahatligin_mekani_mmc/,https://ipoteka.birbank.az/api/files/474ce7b2-61a1-4e19-9756-b8f91461500f.jpg,20.0,16.5,20,20000.0,500000.0,40.40555,49.80156
BirBank,Royal Park,Realest MMC,,"Bakı şəhəri., Yeni Yasamal., Kənar Dairəvi Yol 10",0512072115,,www.realest.az,www.facebook.com/realest.az/,www.instagram.com/royalpark_az/,https://ipoteka.birbank.az/api/files/020d3892-99eb-4b81-9d41-afe0e91b55b7.jpg,20.0,16.5,20,30000.0,500000.0,40.379486,49.79022
BirBank,Anima MTK,Capital Park,,"Bakı şəhəri., N.Yusifbəyli və A.Səhhət küçələrinin kəsişməsi",0704905533,,www.capitalcity.az,,www.instagram.com/capital_plaza/,https://ipoteka.birbank.az/api/files/ebca2e78-76a9-4897-8535-95fe727461fe.png,20.0,16.5,20,30000.0,500000.0,40.39676,49.829357
BirBank,Kronşnep MMC,Capital Park,,"Bakı şəhəri., N.Yusifbəyli və A.Səhhət küçələrinin kəsişməsi",0704905533,,www.capitalcity.az,,www.instagram.com/capital_plaza/,https://ipoteka.birbank.az/api/files/0f366b6b-3897-4e2b-abd6-0927df04f185.png,20.0,16.5,20,30000.0,500000.0,40.381805,49.875004
BirBank,Zumrud Residence,Cavid-2016 MMC,,"Bakı şəhəri, B.Dadaşov küçəsi ilə Y.Bakuvi küçəsinin kəsişməsi",0502718414,,www.zumrudresidence.com,www.facebook.com/zumrudresidence/,www.instagram.com/zumrudresidence/,https://ipoteka.birbank.az/api/files/f0bd63f6-77a4-41ea-ae1a-de1e8aa4cca9.jpg,20.0,16.5,20,30000.0,500000.0,40.39876,49.860783
BirBank,Bayıl Residence,Fortis Bayıl MTK,,"Bakı şəhəri., Qurban Abbasov küç. 29   SAPPHIRE PLAZA, 5- ci mərtəbə",0502772716,,www.fortis.az/projects/-park-bayil,,www.instagram.com/bayilresidence/,https://ipoteka.birbank.az/api/files/temp,20.0,16.5,20,30000.0,500000.0,40.349407,49.83258
BirBank,Ancora Residence,Fortis MTK,,"Bakı Ağ Şəhər, 1-ci Fəvvarələr küçəsi, Fortis Residence binasi",0502772716,,www.ancoraresidence.az,www.facebook.com/ancora.residence.whitecity/,www.instagram.com/ancora_residence_whitecity/,https://ipoteka.birbank.az/api/files/bf34ee90-550b-47a5-add1-84c4f980eed3.jpg,20.0,16.5,20,30000.0,500000.0,40.387417,49.88796
BirBank,Alfa Zaqatala,ASK Əmlak,,"Zaqatala şəh., Azərbaycan PR 108",0552229962,,https://ask.gov.az/,,,https://ipoteka.birbank.az/api/files/01c73f82-128e-4418-9957-69452552847c.jpg,30.0,5.0,20,30000.0,500000.0,41.63359,46.633774
BirBank,Aydınlı Yaşayış Kompleksi,ASK Əmlak,,"Zaqatala şəh., Azərbaycan PR 108",0552229962,,https://ask.gov.az/,,,https://ipoteka.birbank.az/api/files/aa544643-2b92-4478-a77f-189f7f871516.png,30.0,5.0,20,30000.0,500000.0,40.371452,49.831524
BirBank,Daşınmaz əmlak agentliyi,AVALON MMC,,"Bakı şəh., Yasamal ray., Şəfaət Mehdiyev küç / Bakı şəh., Xətai ray., Xocalı pr / Bakı şəh., Nəsimi ray., Hənifə Ələsgərova küç",0503310300,,www.avalon.az,,,https://ipoteka.birbank.az/api/files/b12f4a30-c191-488f-96e1-f90cb4d3ad9e.png,15.0,5.0,20,20000.0,500000.0,40.388874,49.81549
BirBank,AY Company,AY Company MTK,,"Abşeron rayon, Xırdalan şəhəri, Bakı Sumqayıt yolu",0558555954,,,,ay_company_,https://ipoteka.birbank.az/api/files/b54e32d5-7eb7-4d51-824c-eb3f1f6e4d0f.jpg,30.0,5.0,20,20000.0,500000.0,40.4602,49.75137
BirBank,Abşeron M MMC,Abşeron M MMC,,"Bakı şəh., Yeni Günəşli, AB Yaşayış massivi",0502073632,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0,,
BirBank,Whitestone Residence,Ailə Park MTK (Whitestone Towers),,"Bakı şəhəri, Nərimanov r., Təbriz və İ.Həsənoğlu küç. Kəsişməsi",0507003999,,whitestone.az/,,www.instagram.com/whitestonetowers/,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,20000.0,500000.0,40.401424,49.864418
BirBank,Architectural Construction Group,Architectural Construction Group MMC,,"Bakı şəh., Nərimanov ray. Əliyar Əliyev küç. 39",0505519521,,,,,https://ipoteka.birbank.az/api/files/59250b45-f1da-4092-b9aa-34e943123938.jpg,30.0,5.0,20,20000.0,500000.0,40.406143,49.875423
BirBank,Daşınmaz əmlak agentliyi,Arya Group MMC,,"Bakı şəh., Mərdəkan qəs., Sergey Yesenin küç 78",0703001800,,,,,https://ipoteka.birbank.az/api/files/temp,15.0,5.0,20,20000.0,500000.0,40.489613,50.15083
BirBank,Park Academy,Avanqard - MM MMC,,Hüseyn Cavid prospekti 26,0104141010,,,,,https://ipoteka.birbank.az/api/files/6639566e-965f-402e-a558-14758bcdf3ea.jpg,15.0,5.0,20,20000.0,500000.0,40.374657,49.816628
BirBank,BAKI-MEXANİKLƏŞDİRMƏ-1 ASC,BAKI-MEXANİKLƏŞDİRMƏ-1 ASC,,Bakı şəhəri Zabrat – Kürdəxanı şossesı.,0502742278,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0,,
BirBank,Bazis Real Estate,Bazis Real Estate MMC,,"Bakı şəh., Ağ şəhər., Mərkəzi Bulvar küç",0557329992,,www.bazis.az,www.facebook.com/bazis.real.estate,www.instagram.com/bazis.real.estate,https://ipoteka.birbank.az/api/files/dd560bf9-f53e-4f90-8cf8-aa01d95e4fe4.jpg,15.0,16.5,20,20000.0,500000.0,40.382675,49.880703
BirBank,Boulevard Residence,Best Construction MTK,,"Bakı şəhəri, Gülbala Əliyev küçəsi 9",0503154182,,,,,https://ipoteka.birbank.az/api/files/ed3310f8-c183-43fe-bf4a-3f93c3dd1766.png,15.0,16.5,20,20000.0,500000.0,40.33929,49.8325
BirBank,Best Home MMC,Best Home MMC,,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,,besthome.az,,,https://ipoteka.birbank.az/api/files/8ff166e8-2214-4f19-8592-c579e9818b8d.jpg,15.0,16.5,20,20000.0,500000.0,40.376324,49.977814
BirBank,Best Home MMC,Best Home MMC,,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,,besthome.az,,,https://ipoteka.birbank.az/api/files/ea368393-b36b-4be4-b3e8-67c27f34d767.jpg,15.0,16.5,20,20000.0,500000.0,40.374283,49.96187
BirBank,Daşınmaz Əmlak Agentliyi,Best Home MMC,,"Bakı şəhəri, Nərimanov rayonu, Əliyar Əliyev küçəsi (Nərimanov filialı)",0703152222,,besthome.az,,,https://ipoteka.birbank.az/api/files/00d27f10-07da-43e8-b23d-1c8e31fa09ec.jpg,15.0,16.5,20,20000.0,500000.0,40.40322,49.878384
BirBank,CASPRO DAŞINMAZ ƏMLAK AGENTLIYI,CASPRO DAŞINMAZ ƏMLAK AGENTLIYI,,"Bakı, Xətai rayonu,1212-ci məhəllə, 8 Noyabr pr. 15. Azure Biznes Mərkəzi 22-ci mərtəbə,ofis 157. AZ1025",0554886600,,www.caspro.az,https://www.facebook.com/caspro.az/,https://www.instagram.com/caspro.az/,https://ipoteka.birbank.az/api/files/ad860cde-a56e-436f-b5c1-1835c30c0f97.jpeg,30.0,16.5,20,30000.0,500000.0,40.37838,49.874447
BirBank,Turkuaz Yaşayış Kompleksi,Cavadxan RB,,"Bakı şəh., Xətai ray. Nəsrəddin Tusi küç.293 (Əhmədli Metrosunun yaxınlığı)",0502421122,,,,https://www.instagram.com/turkuaz.ahmadli/,https://ipoteka.birbank.az/api/files/ff30ca99-972d-4abd-854c-2a7a5a6ce5b3.jpg,30.0,16.5,20,20000.0,500000.0,40.37245,49.96257
BirBank,City Life MMC,City Life MMC,,"Yasamal rayonu, Cəfər Cabbarlı küçəsi",0509700088,,,,,https://ipoteka.birbank.az/api/files/4b41610d-803c-40af-85d2-1469a6526474.png,20.0,16.5,20,20000.0,500000.0,,
BirBank,Cənub MTK Xalqlar,Cənub MTK,,"Bakı şəh., Nizami ray., Bəhruz Nuriyev küç., 32",0506070990,,,,,https://ipoteka.birbank.az/api/files/1eaa7f00-8593-4196-940c-d761534b1a18.jpg,30.0,16.5,20,20000.0,500000.0,40.401962,49.95497
BirBank,Delfin MTK,Delfin MTK,,"Bakı şəh., Suraxanı ray., Yeni Günəşli qəs., AB Y/S 117 E",0505518115,,,,,https://ipoteka.birbank.az/api/files/bd16ddc9-8796-4e39-b7bd-7466f38dc782.jpeg,30.0,16.5,20,20000.0,500000.0,40.386486,49.97525
